0,1,2,3,4,5,6,7,8,9
1st Year B_Tech AIDS Section A
PHY101 PTN ,Self-Learning,Break,MTH101 VGP ,ECE101 T ANY ,Lunch,Self-Learning,PHY101 PTN ,Break,PHY102 T RJS 
ECE101 T ANY ,Self-Learning,Break,Self-Learning,ENG101 CMP ,Lunch,PHY101 PTN ,ENG101 CMP ,Break,MTH101 VGP 
Self-Learning,ENG101 CMP ,Break,Self-Learning,CSE101 PDV ,Lunch,PHY102 CSE102 RJS PWR PHYLAB1 CSELAB3 ,PHY102 CSE102 RJS PWR PHYLAB1 CSELAB3 ,Break,PHY102 CSE102 RJS PWR PHYLAB1 CSELAB3 
ENV101 VSL ,CSE102 T PWR ,Break,MTH101 VGP ,MTH101 VGP ,Lunch,ENV101 VSL ,Self-Learning,Break,CSE101 PDV 
ECE101 ANY ECELAB1 ,ECE101 ANY ECELAB1 ,Break,CSE101 PDV ,Self-Learning,Lunch,PHY102 CSE102 RJS PWR PHYLAB1 CSELAB12 ,PHY102 CSE102 RJS PWR PHYLAB1 CSELAB12 ,Break,PHY102 CSE102 RJS PWR PHYLAB1 CSELAB12 
1st Year B_Tech AIDS Section B
ECE101 T ANY ,PHY102 T RJS ,Break,ENG101 CMP ,MTH101 DVD ,Lunch,CSE101 SMW ,Self-Learning,Break,Self-Learning
PHY101 PTN ,ENV101 VSL ,Break,ENV101 VSL ,Self-Learning,Lunch,Self-Learning,Self-Learning,Break,ENG101 CMP 
CSE101 SMW ,PHY102 CSE102 RJS SMW PHYLAB1 CSELAB19 ,Break,PHY102 CSE102 RJS SMW PHYLAB1 CSELAB19 ,PHY102 CSE102 RJS SMW PHYLAB1 CSELAB19 ,Lunch,ENG101 CMP ,Self-Learning,Break,PHY101 PTN 
CSE101 SMW ,PHY102 CSE102 RJS SMW PHYLAB1 CSELAB8 ,Break,PHY102 CSE102 RJS SMW PHYLAB1 CSELAB8 ,PHY102 CSE102 RJS SMW PHYLAB1 CSELAB8 ,Lunch,PHY101 PTN ,ECE101 ANY ECELAB1 ,Break,ECE101 ANY ECELAB1 
Self-Learning,CSE102 T SMW ,Break,ECE101 T ANY ,MTH101 DVD ,Lunch,MTH101 DVD ,MTH101 DVD ,Break,Self-Learning
1st Year B_Tech AIDS Section C
PHY102 CSE102 SDT SMW PHYLAB1 CSELAB11 ,PHY102 CSE102 SDT SMW PHYLAB1 CSELAB11 ,Break,PHY102 CSE102 SDT SMW PHYLAB1 CSELAB11 ,ENG101 NBD ,Lunch,Self-Learning,ENV101 VSL ,Break,Self-Learning
CSE101 SMW ,PHY102 CSE102 SDT SMW PHYLAB1 CSELAB17 ,Break,PHY102 CSE102 SDT SMW PHYLAB1 CSELAB17 ,PHY102 CSE102 SDT SMW PHYLAB1 CSELAB17 ,Lunch,Self-Learning,Self-Learning,Break,ENV101 VSL 
ENG101 NBD ,ECE101 T ANY ,Break,PHY102 T SDT ,MTH101 DVD ,Lunch,Self-Learning,Self-Learning,Break,Self-Learning
PHY101 SDT ,ECE101 T ANY ,Break,ECE101 ANY ECELAB1 ,ECE101 ANY ECELAB1 ,Lunch,MTH101 DVD ,PHY101 SDT ,Break,PHY101 SDT 
